"user_id","client_Model","client_OS","client_CountryOrRegion","client_Browser"
"1217_1545140890490","iPhone","iOS 12.1","United States","Chrome Mobile iOS 71.0"
"1217_1545139101031","Generic Smartphone","Android 7.0","United States","Chrome Mobile 70.0"
"1217_1545133240069","iPhone","iOS 12.0","United States","Mobile Safari 12.0"
"1217_1545121297929","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545120525102","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545116303807","Generic Smartphone","Android","United States","Chrome Mobile 70.0"
"1217_1545111833790","Generic Smartphone","Android","United States","Chrome Mobile 70.0"
"1217_1545110101916","iPhone","iOS 11.4","United States","Mobile Safari 11.0"
"1217_1545105986616","Generic Smartphone","Android","United States","Chrome Mobile 71.0"
"1217_1545105720397","Generic Smartphone","Android 6.0","United States","Chrome Mobile 70.0"
"1217_1545104322210","Generic Smartphone","Android 6.0","United States","Chrome Mobile 70.0"
"1217_1545104181634","LG-H932","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545103779367","iPhone","iOS 11.4","United States","Mobile Safari 11.0"
"1217_1545097143885","LG-TP260","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545096729549","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545089137240","iPhone","iOS 10.3","United States","Chrome Mobile iOS 68.0"
"1217_1545086269010","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545085605913","Samsung SM-J320A","Android 7.1","United States","Chrome Mobile 70.0"
"1217_1545082623024","FRD-L04","Android 7.0","United States","Chrome Mobile 59.0"
"1217_1545082019104","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545081260906","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545077536346","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545076523077","Generic Smartphone","Android 7.0","United States","Chrome Mobile 70.0"
"1217_1545076235867","Generic Smartphone","Android 6.0","United States","Chrome Mobile 71.0"
"1217_1545074823909","Generic Smartphone","Android 8.1","United States","Chrome Mobile 70.0"
"1217_1545074083972","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545073843996","Samsung SM-N920A","Android 7.0","United States","Chrome Mobile 70.0"
"1217_1545072884869","Generic Smartphone","Android 7.1","United States","Chrome Mobile 71.0"
"1217_1545072884236","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545072681813","Generic Smartphone","Android","United States","Chrome Mobile 71.0"
"1217_1545072543227","Samsung SM-G930T","Android 7.0","United States","Facebook 193.0"
"1217_1545071988209","Generic Smartphone","Android 8.1","United States","Chrome Mobile 70.0"
"1217_1545071152902","Generic Smartphone","Android 7.0","United States","Chrome Mobile 70.0"
"1217_1545071238782","Generic Smartphone","Android 8.1","United States","Chrome Mobile 71.0"
"1217_1545070997238","iPhone","iOS 12.0","United States","Firefox iOS 13.2"
"1217_1545070875348","Generic Smartphone","Android 6.0","United States","Chrome Mobile 71.0"
"1217_1545070063962","iPhone","iOS 12.0","United States","Mobile Safari 12.0"
"1217_1545070227389","iPhone","iOS 11.4","United States","Chrome Mobile iOS 71.0"
"1217_1545069654708","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545069721071","iPhone","iOS 12.1","United States","Chrome Mobile iOS 70.0"
"1217_1545069880027","Generic Smartphone","Android 6.0","United States","Chrome Mobile 71.0"
"1217_1545069358059","Generic Smartphone","Android 6.0","United States","Chrome Mobile 71.0"
"1217_1545068972593","iPhone","iOS 11.4","United States","Mobile Safari 11.0"
"1217_1545068975376","iPhone","iOS 10.3","United States","Mobile Safari 10.0"
"1217_1545069001032","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545069316192","Generic Smartphone","Android 8.1","United States","Chrome Mobile 70.0"
"1217_1545068762953","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545068949552","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545068958858","Samsung SM-G950U","Android 8.0","United States","Samsung Internet 7.4"
"1217_1545068914748","Generic Smartphone","Android 8.0","Canada","Chrome Mobile 71.0"
"1217_1545068701111","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545069038903","Samsung SM-G900A","Android 6.0","United States","Chrome Mobile 70.0"
"1217_1545068902197","Generic Smartphone","Android","United States","Chrome Mobile 71.0"
"1217_1545068535455","Generic Smartphone","Android 8.0","United States","Chrome Mobile 70.0"
"1217_1545068736974","iPhone","iOS 12.1","United States","Chrome Mobile iOS 70.0"
"1217_1545068752328","Generic Smartphone","Android 8.1","United States","Chrome Mobile 71.0"
"1217_1545068740172","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545068261381","Generic Smartphone","Android 8.1","United States","Chrome Mobile 71.0"
"1217_1545068134292","Generic Smartphone","Android 6.0","United States","Firefox Mobile 63.0"
"1217_1545068304991","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545068367376","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545067894138","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545068228790","Samsung SM-S327VL","Android 6.0","United States","Chrome Mobile 56.0"
"1217_1545067960214","Generic Smartphone","Android 6.0","United States","Chrome Mobile 71.0"
"1217_1545067854961","Generic Smartphone","Android 8.1","United States","Chrome Mobile 70.0"
"1217_1545068018218","Generic Smartphone","Android 4.3","United States","Chrome Mobile 71.0"
"1217_1545068325698","Generic Smartphone","Android 8.1","United States","Chrome Mobile 71.0"
"1217_1545067864503","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545067967283","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545067592135","Nexus 4","Android 5.1","United States","Chrome Mobile 51.0"
"1217_1545067589231","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545067702646","Samsung SGH-I337","Android 5.0","United States","Chrome Mobile 69.0"
"1217_1545068011676","iPhone","iOS 12.1","United States","Chrome Mobile iOS 70.0"
"1217_1545067868428","Generic Smartphone","Android 6.0","United States","Chrome Mobile 71.0"
"1217_1545068073955","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545067639835","Generic Smartphone","Android 8.0","United States","Chrome Mobile 70.0"
"1217_1545067905484","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545067957134","Samsung SM-G935A","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545067698563","Generic Smartphone","Android 8.0","United States","Chrome Mobile 70.0"
"1217_1545067610825","iPhone","iOS 12.1","United States","Chrome Mobile iOS 70.0"
"1217_1545067647903","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545067574777","iPhone","iOS 11.4","United States","Mobile Safari 11.0"
"1217_1545067671290","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1217_1545067798369","Generic Smartphone","Android 8.0","United States","Chrome Mobile 70.0"
"1217_1545067557061","Generic Smartphone","Android 7.1","United States","Chrome Mobile 70.0"
"1217_1545067619387","iPhone","iOS 12.1","United States","Chrome Mobile iOS 70.0"
"1217_1545067627681","iPhone","iOS 12.1","United States","Chrome Mobile iOS 71.0"
"1217_1545067517367","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1217_1545067527663","LGLS755","Android 6.0","United States","Chrome Mobile 69.0"
"1217_1545067596091","Samsung SM-J727A","Android 8.1","United States","Chrome Mobile 70.0"
"1217_1545067617756","Samsung SM-G891A","Android 8.0","United States","Samsung Internet 7.4"
"1217_1545067433691","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1217_1545067439203","Generic Smartphone","Android 8.0","United States","Chrome Mobile 70.0"
"1217_1545067451273","LG-H871","Android 8.0","United States","Chrome Mobile 71.0"
"1218_1545349112350",""iPhone"","iOS 12.1","United States","Chrome Mobile iOS 71.0"
"1218_1545343220952","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1218_1545271307811","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1218_1545253932869",VS988,"Android 8.0","United States","Chrome Mobile 69.0"
"1218_1545252683436","Generic Smartphone","Android 5.0","United States","Chrome Mobile 70.0"
"1218_1545236507575","iPhone","iOS 12.1","United States","Chrome Mobile iOS 71.0"
"1218_1545235559025","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1218_1545234708969","Generic Smartphone","Android 8.1","United States","Chrome Mobile 70.0"
"1218_1545229524227","iPhone","iOS 12.1","United States","Mobile Safari 12.0"
"1218_1545180905010","Samsung SM-N950U","Android 8.0","United States","Samsung Internet 7.4"
"1218_1545180874584","Moto Z (2)","Android 8.0","United States","Chrome Mobile 67.0"
"1218_1545173252530","iPhone","iOS 12.1","United States","Chrome Mobile iOS 71.0"
"1218_1545172179086","Samsung SM-G955U","Android 8.0","United States","Chrome Mobile 68.0"
"1218_1545169889365","Generic Smartphone","Android 7.0","United States","Chrome Mobile 71.0"
"1218_1545166548542","iPhone","iOS 12.1","United States","Chrome Mobile iOS 71.0"
"1218_1545409953483","iPhone","iOS 12.1","United States","Chrome Mobile iOS 71.0"
"1218_1545585730581","Generic Smartphone","Android 8.0","United States","Chrome Mobile 71.0"
"1218_1545519903467","Generic Smartphone","Android 8.1","United States","Chrome Mobile 71.0"
"1218_1545506536653","Generic Smartphone","Android 8.1","United States","Chrome Mobile 71.0"
